City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
341,Levelland,US,33.59,-102.38,42.8,75,1,3.36,clear sky
342,Leningradskiy,RU,69.38,178.42,17.73,89,88,17.36,overcast clouds
343,Culemborg,NL,51.95,5.23,57.0,91,100,5.01,overcast clouds
344,Alice Springs,AU,-23.7,133.88,82.4,12,0,13.87,clear sky
345,Douentza,ML,15.0,-2.95,77.94,17,0,2.15,clear sky
346,Vawkavysk,BY,53.16,24.45,44.6,100,90,6.71,overcast clouds
347,Sackville,CA,45.92,-64.38,36.0,55,99,1.99,overcast clouds
348,Tizapan El Alto,MX,20.17,-103.07,64.4,68,40,0.56,scattered clouds
349,Mar Del Plata,AR,-38.0,-57.56,46.0,100,0,3.36,clear sky
350,High Level,CA,58.52,-117.14,18.99,94,98,7.52,overcast clouds
351,Biak,ID,-0.91,122.88,84.63,69,100,4.32,light rain
352,Esperance,AU,-33.87,121.9,82.4,20,94,11.41,overcast clouds
353,Sindor,RU,62.86,51.89,40.35,96,100,8.3,overcast clouds
354,Sayyan,YE,15.17,44.32,61.66,30,0,5.5,clear sky
355,Jiazi,CN,22.88,116.07,74.57,70,35,19.6,scattered clouds
356,Houma,US,29.6,-90.72,51.01,81,0,7.0,clear sky
357,Suntar,RU,62.14,117.63,12.7,86,100,6.93,overcast clouds
358,Clyde River,CA,70.47,-68.59,21.52,95,100,6.04,light snow
359,Constitucion,CL,-35.33,-72.42,54.72,76,0,2.33,clear sky
360,Avera,US,33.19,-82.53,55.4,58,1,11.41,clear sky
361,Acajutla,SV,13.59,-89.83,68.0,100,97,3.56,overcast clouds
362,Griffith,US,41.53,-87.42,37.99,59,90,10.29,overcast clouds
363,Mbandaka,CD,0.05,18.26,72.93,91,99,2.1,overcast clouds
